"Date","Price","Open","High","Low","Vol.","Change %"
"01/14/2021","132.00","135.75","136.00","131.80","28.31M","-2.45%"
"01/13/2021","135.32","134.90","136.25","133.85","21.00M","0.35%"
"01/12/2021","134.85","137.52","137.54","133.45","29.15M","-1.00%"
"01/11/2021","136.21","134.19","139.61","133.63","51.90M","2.60%"
"01/08/2021","132.77","133.63","134.21","130.42","29.25M","-0.50%"
"01/07/2021","133.44","129.68","133.78","128.87","46.15M","5.78%"
"01/06/2021","126.14","132.23","132.45","125.86","58.04M","-5.90%"
"01/05/2021","134.05","131.00","134.43","130.87","32.28M","2.22%"
"01/04/2021","131.13","131.04","136.52","129.63","56.06M","0.45%"
"12/31/2020","130.55","131.37","131.51","129.15","19.24M","-0.69%"
"12/30/2020","131.46","129.90","132.14","128.97","22.54M","1.56%"
"12/29/2020","129.43","129.25","130.73","128.42","17.04M","0.34%"
"12/28/2020","129.00","130.63","130.63","127.63","21.26M","-0.72%"
"12/24/2020","129.94","130.37","131.32","129.39","9.79M","-0.12%"
"12/23/2020","130.09","132.56","132.75","130.05","17.91M","-2.03%"
"12/22/2020","132.78","133.19","133.37","130.54","18.63M","-0.41%"
"12/21/2020","133.32","130.75","133.70","129.68","30.23M","0.45%"
"12/18/2020","132.72","133.79","134.05","130.71","34.21M","-0.52%"
"12/17/2020","133.41","133.67","133.79","131.79","23.14M","0.75%"
"12/16/2020","132.43","134.22","134.37","132.13","22.31M","-0.88%"
"12/15/2020","133.60","134.40","134.64","131.87","19.35M","0.39%"
"12/14/2020","133.09","130.88","133.89","130.77","27.02M","2.27%"
"12/11/2020","130.13","129.67","130.20","128.23","20.93M","0.32%"
"12/10/2020","129.72","128.69","130.69","128.49","20.78M","0.32%"
"12/09/2020","129.31","133.01","134.14","128.68","40.13M","-3.14%"
"12/08/2020","133.50","135.85","135.99","132.82","27.19M","-1.89%"
"12/07/2020","136.07","136.01","137.31","135.00","22.32M","0.36%"
"12/04/2020","135.58","134.49","135.60","133.89","20.22M","1.21%"
"12/03/2020","133.96","135.88","136.60","133.29","19.95M","-1.10%"
"12/02/2020","135.45","133.51","136.73","132.34","28.34M","1.15%"
"12/01/2020","133.90","134.92","135.29","132.28","29.76M","-0.09%"
"11/30/2020","134.01","132.65","134.13","129.72","28.70M","1.06%"
"11/27/2020","132.61","133.75","134.07","131.71","16.73M","0.20%"
"11/25/2020","132.35","130.32","132.69","130.20","25.99M","2.14%"
"11/24/2020","129.58","131.43","131.62","128.85","34.65M","-1.39%"
"11/23/2020","131.40","131.71","133.82","130.15","36.14M","0.40%"
"11/20/2020","130.88","134.54","134.94","130.65","34.11M","-2.62%"
"11/19/2020","134.40","132.13","134.88","131.00","56.59M","0.09%"
"11/18/2020","134.29","134.65","136.06","131.85","51.09M","0.05%"
"11/17/2020","134.22","135.52","135.96","133.04","31.20M","-0.69%"
"11/16/2020","135.15","131.73","136.49","131.56","41.38M","1.64%"
"11/13/2020","132.97","136.27","136.69","130.59","34.68M","-1.19%"
"11/12/2020","134.57","134.79","137.66","133.16","36.66M","0.29%"
"11/11/2020","134.18","130.54","134.35","129.48","40.47M","5.07%"
"11/10/2020","127.70","136.07","136.07","126.28","64.41M","-6.31%"
"11/09/2020","136.31","145.52","146.91","136.11","58.30M","-6.40%"
"11/06/2020","145.62","141.10","145.89","138.95","38.33M","2.84%"
"11/05/2020","141.60","141.63","143.39","139.91","31.90M","2.65%"
"11/04/2020","137.94","133.89","138.27","133.37","41.02M","5.95%"
"11/03/2020","130.20","127.08","131.05","126.03","27.29M","3.49%"
"11/02/2020","125.81","126.58","128.37","123.95","29.97M","0.37%"
"10/30/2020","125.34","128.50","129.36","123.00","41.74M","-3.76%"
"10/29/2020","130.24","128.38","131.93","127.50","32.01M","3.14%"
"10/28/2020","126.27","131.98","132.60","126.09","37.65M","-5.75%"
"10/27/2020","133.97","133.06","134.42","131.91","25.05M","1.94%"
"10/26/2020","131.41","134.27","136.93","130.38","33.69M","-3.30%"
"10/23/2020","135.90","134.50","135.93","132.91","23.35M","1.72%"
"10/22/2020","133.61","135.23","136.12","132.32","29.05M","-1.21%"
"10/21/2020","135.25","136.25","137.91","134.78","21.96M","-0.88%"
"10/20/2020","136.46","135.84","138.00","135.07","22.92M","1.09%"
"10/19/2020","134.98","139.03","139.83","134.07","29.81M","-2.27%"
"10/16/2020","138.12","140.37","141.21","137.93","24.26M","-1.13%"
"10/15/2020","139.70","138.11","140.06","137.68","26.72M","-0.89%"
"10/14/2020","140.95","142.90","143.43","139.60","27.66M","-1.07%"
"10/13/2020","142.48","142.96","143.48","140.19","34.46M","0.16%"
"10/12/2020","142.26","139.90","143.47","139.13","43.47M","3.37%"
"10/09/2020","137.63","137.67","138.24","136.61","34.69M","-0.55%"
"10/08/2020","138.39","140.75","140.85","137.58","37.89M","-0.90%"
"10/07/2020","139.64","140.00","141.19","138.63","41.81M","1.66%"
"10/06/2020","137.37","138.30","141.42","136.65","78.44M","0.69%"
"10/05/2020","136.43","132.36","136.44","132.23","47.98M","4.44%"
"10/02/2020","130.62","132.25","135.20","130.51","55.25M","-4.06%"
"10/01/2020","136.15","137.58","137.63","134.61","52.50M","0.62%"
"09/30/2020","135.30","131.57","136.23","131.50","68.92M","2.30%"
"09/29/2020","132.26","129.38","134.43","129.33","62.30M","1.46%"
"09/28/2020","130.35","130.40","130.52","127.50","57.38M","1.25%"
"09/25/2020","128.74","124.47","128.84","122.46","58.80M","4.26%"
"09/24/2020","123.48","120.72","125.69","120.14","73.12M","1.85%"
"09/23/2020","121.24","125.75","127.27","120.79","64.70M","-4.07%"
"09/22/2020","126.38","125.75","126.48","121.56","64.65M","0.96%"
"09/21/2020","125.17","119.25","125.22","119.04","72.10M","2.69%"
"09/18/2020","121.89","125.94","126.32","119.89","69.85M","-2.20%"
"09/17/2020","124.64","121.32","125.90","120.35","79.25M","-0.41%"
"09/16/2020","125.14","129.57","130.93","125.14","55.76M","-3.67%"
"09/15/2020","129.91","132.80","132.99","128.28","72.76M","0.92%"
"09/14/2020","128.72","130.81","133.15","126.31","120.17M","5.82%"
"09/11/2020","121.64","124.86","126.53","118.96","63.69M","-1.20%"
"09/10/2020","123.12","129.89","130.65","121.67","69.87M","-3.17%"
"09/09/2020","127.15","124.00","128.09","122.32","73.62M","6.73%"
"09/08/2020","119.13","117.35","125.50","117.04","79.57M","-5.62%"
"09/04/2020","126.22","127.84","131.75","117.05","146.37M","-3.02%"
"09/03/2020","130.15","138.29","138.85","128.79","94.51M","-9.28%"
"09/02/2020","143.46","147.04","147.27","139.00","87.40M","3.80%"
"09/01/2020","138.21","134.80","139.94","134.37","51.25M","3.34%"
"08/31/2020","133.74","131.83","135.75","130.38","50.08M","1.72%"
"08/28/2020","131.48","126.75","131.48","126.43","53.72M","4.11%"
"08/27/2020","126.28","127.82","128.50","125.66","31.76M","-1.13%"
"08/26/2020","127.73","127.99","128.68","126.78","32.12M","0.18%"
"08/25/2020","127.50","126.31","127.61","125.74","28.91M","0.23%"
"08/24/2020","127.20","128.84","129.13","125.07","49.06M","0.29%"
"08/21/2020","126.83","122.02","128.09","121.95","99.99M","4.47%"
"08/20/2020","121.41","119.75","123.75","118.79","92.14M","0.02%"
"08/19/2020","121.39","122.96","123.15","120.98","62.26M","-1.00%"
"08/18/2020","122.61","124.50","124.96","120.86","50.34M","-0.62%"
"08/17/2020","123.37","118.51","124.10","118.17","62.13M","6.68%"
"08/14/2020","115.64","115.30","117.05","114.40","36.64M","1.06%"
"08/13/2020","114.43","115.46","117.22","113.56","37.45M","0.02%"
"08/12/2020","114.40","109.91","114.67","109.58","46.49M","5.44%"
"08/11/2020","108.50","110.74","111.37","107.96","35.45M","-2.82%"
"08/10/2020","111.65","113.34","114.08","108.57","42.78M","-0.31%"
"08/07/2020","112.00","113.13","115.05","110.38","34.25M","-1.20%"
"08/06/2020","113.36","113.50","113.58","111.79","24.43M","0.43%"
"08/05/2020","112.87","112.44","113.72","111.66","25.05M","0.53%"
"08/04/2020","112.28","110.50","112.28","109.06","31.03M","1.98%"
"08/03/2020","110.10","107.32","110.99","107.15","41.30M","3.73%"
"07/31/2020","106.15","105.63","107.67","104.33","38.63M","0.01%"
"07/30/2020","106.14","103.75","106.23","102.95","30.89M","1.42%"
"07/29/2020","104.65","103.91","105.16","103.47","28.45M","2.45%"
"07/28/2020","102.15","103.74","103.82","102.09","27.16M","-1.98%"
"07/27/2020","104.21","102.32","104.42","102.18","29.21M","2.23%"
"07/24/2020","101.94","98.75","103.65","97.77","47.33M","0.64%"
"07/23/2020","101.30","104.50","105.47","100.31","41.17M","-2.96%"
"07/22/2020","104.39","103.68","106.03","102.92","36.73M","1.07%"
"07/21/2020","103.29","105.13","105.60","102.87","27.77M","-1.73%"
"07/20/2020","105.11","102.74","105.31","101.57","28.49M","3.03%"
"07/17/2020","102.02","102.25","102.48","100.88","26.63M","0.66%"
"07/16/2020","101.35","100.15","102.07","98.95","34.50M","-0.90%"
"07/15/2020","102.27","104.14","104.33","100.56","40.40M","-1.45%"
"07/14/2020","103.77","100.75","104.03","97.86","54.27M","3.23%"
"07/13/2020","100.52","105.95","107.92","100.25","45.71M","-4.07%"
"07/10/2020","104.79","105.89","106.55","103.79","49.77M","-0.29%"
"07/09/2020","105.09","103.80","105.70","102.33","49.45M","2.87%"
"07/08/2020","102.16","99.94","102.25","99.66","36.55M","3.48%"
"07/07/2020","98.72","99.46","100.70","98.51","35.78M","0.34%"
"07/06/2020","98.39","97.42","99.09","97.12","31.59M","2.36%"
"07/02/2020","96.12","96.39","97.38","95.78","36.41M","0.86%"
"07/01/2020","95.30","95.21","95.76","94.13","32.66M","0.34%"
"06/30/2020","94.98","93.14","95.26","92.67","36.79M","3.24%"
"06/29/2020","92.00","91.70","92.05","89.00","34.22M","0.49%"
"06/26/2020","91.55","95.00","95.00","91.25","59.21M","-3.53%"
"06/25/2020","94.90","93.56","95.05","91.82","37.61M","2.75%"
"06/24/2020","92.36","94.76","95.56","91.45","44.94M","-2.26%"
"06/23/2020","94.50","95.51","96.42","94.08","37.51M","-0.81%"
"06/22/2020","95.27","93.00","95.31","92.73","39.85M","2.87%"
