sym,name,sector,lunes,martes,miercoles,jueves,viernes
ANSS,Ansys,Information Technology,91.19786042240588,91.87360201511335,91.35109899328859,91.62276686592655,91.14573883161512
AON,Aon,Financials,82.7633608815427,83.51890008396305,83.07505033557048,83.24907771135781,83.18680412371134
APA,APA Corporation,Energy,47.912901744719925,48.01098236775819,48.07990771812081,48.03885567890692,48.03302405498282
AAPL,Apple Inc.,Information Technology,28.884279155188246,29.331796809403862,29.13724832214765,29.147549103330487,28.953316151202753
AMAT,Applied Materials,Information Technology,29.57301193755739,29.93244332493703,29.827911073825504,29.861699402220328,29.715231958762885
APTV,Aptiv,Consumer Discretionary,74.05106261859584,74.38639032815199,74.24637781629117,74.04732864674868,73.76756183745583
ACGL,Arch Capital Group,Financials,16.69586776859504,16.88041141897565,16.785419463087248,16.81130657557643,16.82458762886598
ANET,Arista Networks,Information Technology,56.10816176470588,56.730712694877504,56.61892617449664,56.70658314350797,56.59827981651376
AJG,Arthur J. Gallagher & Co.,Financials,42.67394857667585,43.15735516372796,42.92838087248322,42.96490179333903,42.98795532646049
AIZ,Assurant,Financials,63.40360178970917,63.78179408766565,63.48960285132383,63.56488612836439,63.6612434691745
T,AT&T,Communication Services,11.409017447199265,11.449135180520571,11.410067114093959,11.440819812126389,11.434209621993126
ATO,Atmos Energy,Utilities,40.692231404958676,40.98506297229219,40.76452181208054,40.88739538855679,40.86219072164948
ADSK,Autodesk,Information Technology,72.0915243342516,72.60500419815281,72.18657718120805,72.446780529462,72.11447594501718
AZO,AutoZone,Consumer Discretionary,498.60453627180897,505.7452225020991,502.14300335570465,502.62760034158845,502.28597079037803
AVB,AvalonBay Communities,Real Estate,92.05613406795226,92.57456759026029,92.33779362416107,92.47529461998293,92.42963058419244
AVY,Avery Dennison,Materials,60.44282828282829,61.053358522250214,60.80686241610738,60.87953885567891,60.803393470790375
BKR,Baker Hughes,Energy,25.96878787878788,26.051956339210747,26.081988255033558,26.110930828351837,26.094776632302406
BALL,Ball Corporation,Materials,26.32736455463728,26.483618807724604,26.360545302013424,26.404107600341586,26.295970790378007
BAC,Bank of America,Financials,21.582672176308538,21.656028547439128,21.6514177852349,21.672903501280956,21.67250859106529
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,20.61726354453627,20.75656591099916,20.71655201342282,20.664432109308283,20.645257731958765
BAX,Baxter International,Health Care,34.88697887970615,34.958094038623,34.88583892617449,34.98324508966695,34.90139175257732
BDX,Becton Dickinson,Health Care,103.26057851239669,103.881905961377,103.44625,103.71743808710504,103.59266323024055
WRB,Berkley,Financials,18.431570247933884,18.647867338371118,18.559395973154363,18.581434671221178,18.59169243986254
BRK-B,Berkshire Hathaway,Financials,118.21505050505051,118.98188916876573,118.5738255033557,118.67152006831768,118.71276632302406
BBY,Best Buy,Consumer Discretionary,36.14354453627181,36.275768261964735,36.09255033557047,36.16140051238258,36.07932989690721
BIO,Bio-Rad,Health Care,167.75232323232322,168.79826196473553,168.22083053691276,168.88855678906918,168.2664089347079
TECH,Bio-Techne,Health Care,26.453838383838384,26.68673383711167,26.58684563758389,26.6432707087959,26.555266323024057
BIIB,Biogen,Health Care,157.32619834710744,157.99139378673382,157.59296979865772,157.53542271562767,157.62223367697595
BLK,BlackRock,Financials,231.7570890725436,234.0274979009236,233.06073825503358,233.3793680614859,232.69055841924398
BK,BNY Mellon,Financials,29.966216712580348,30.05445004198153,30.027458053691277,30.050930828351834,30.03618556701031
BA,Boeing,Industrials,108.81265381083563,109.21751469353484,108.66736577181209,109.22917164816397,109.33234536082475
BKNG,Booking Holdings,Consumer Discretionary,804.4318732782369,810.8165407220823,805.9890352348993,809.1758411614005,806.5331958762887
BWA,BorgWarner,Consumer Discretionary,25.620697887970614,25.70574307304786,25.635570469798658,25.663919726729294,25.622878006872853
BXP,Boston Properties,Real Estate,62.89664830119375,63.139361880772455,62.95719798657718,63.064150298889835,63.043831615120276
BSX,Boston Scientific,Health Care,21.03415059687787,21.163316540722082,21.0996644295302,21.15063193851409,21.12481099656357
BMY,Bristol Myers Squibb,Health Care,31.645840220385676,31.86285474391268,31.768238255033555,31.806532877882148,31.775128865979383
AVGO,Broadcom Inc.,Information Technology,173.7040157480315,176.02255014326647,175.29426724137932,175.047944606414,174.86433823529413
BR,Broadridge Financial Solutions,Industrials,61.02377333333334,61.603853658536586,61.276813186813186,61.4051364764268,61.374230287859824
BRO,Brown & Brown,Financials,17.716216712580348,17.87586901763224,17.799723154362418,17.838590947907772,17.8138058419244
