sym,name,years_in,sector,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AMD,AMD,6,Information Technology,29.05515873015873,19.90399193548387,10.335833333333333,9.418730158730158,15.494126984126984,19.912380952380953,28.110637450199206,13.598446215139443,5.348656126482213,4.4263095238095245,7.931388888888889,7.139404761904761,5.07108,3.3785714285714286,3.662063492063492,2.331746031746032,5.2549206349206345,12.411673306772908,17.214501992031874,29.941071428571426,65.6197233201581,101.14587301587301,90.88764940239044,70.26599999999999
AEE,Ameren,32,Utilities,13.009404761904761,15.441895161290324,16.76142857142857,18.020992063492063,20.65015873015873,24.787460317460315,25.624023904382472,27.143386454183265,22.45505928853755,15.172579365079365,16.724087301587304,19.495873015873016,22.379759999999997,25.307103174603174,30.545714285714286,33.22198412698413,40.48238095238095,48.733665338645416,53.40529880478088,67.04888888888888,72.02833992094861,78.48916666666666,86.92326693227092,87.19550000000001
AAL,American Airlines Group,8,Industrials,,,,,,27.404477611940298,41.78470119521913,33.62944223107569,7.298814229249012,3.610238095238095,8.1425,7.032698412698413,9.895040000000002,17.146349206349207,36.75579365079365,42.940198412698415,36.71634920634921,46.101195219123504,41.898247011952186,30.5718253968254,15.271620553359684,20.343214285714286,15.2699203187251,15.671000000000001
AEP,American Electric Power,66,Utilities,13.352539682539684,18.02201612903226,15.216349206349205,12.257738095238095,15.443452380952381,17.972539682539683,19.011155378486055,24.910876494023906,21.65083003952569,17.463373015873017,21.462857142857143,24.11547619047619,27.81236,32.634206349206345,39.088253968253966,43.41936507936508,50.92690476190476,57.70924302788845,59.91195219123506,77.10349206349207,78.53363636363636,79.74587301587302,92.71752988047808,93.46000000000001
AXP,American Express,47,Financials,34.27269841269841,24.908911290322582,23.97484126984127,27.302738095238094,34.21563492063492,36.73789682539683,41.94247011952191,46.1307171314741,29.910592885375493,22.01876984126984,34.67198412698413,40.176785714285714,48.105959999999996,63.42785714285714,79.00813492063492,69.4543253968254,57.84988095238095,78.12462151394422,94.55286852589641,110.53765873015874,100.77166007905139,153.80246031746032,159.69828685258963,155.2365
AIG,American International Group,43,Financials,1017.1602777777779,1023.4682661290323,835.6561507936508,727.211746031746,877.9900793650794,781.3145238095238,840.7723505976095,866.9306374501992,362.6132806324111,19.183769841269843,24.78472222222222,24.05857142857143,25.20732,35.910833333333336,42.82452380952381,48.16325396825397,47.87976190476191,53.313187250996016,45.81597609561753,45.09634920634921,31.421739130434784,48.28484126984127,56.083904382470116,62.9455
AMT,American Tower,16,Real Estate,33.045992063492065,16.113225806451613,2.9072619047619046,6.82234126984127,11.557738095238095,17.190436507936507,26.988964143426294,33.22709163346614,30.36498023715415,27.049960317460318,37.20769841269841,43.16373015873016,55.98428,63.49373015873016,76.18170634920635,82.03488095238096,92.41952380952381,115.93533864541833,132.50557768924304,188.84547619047618,228.0788537549407,249.92123015873017,235.8912749003984,221.623
AWK,American Water Works,7,Utilities,,,,,,,,,14.444431818181817,14.103650793650793,16.85702380952381,22.503373015873017,28.329919999999998,33.755992063492066,40.46400793650794,47.05642857142857,64.41551587301586,72.97812749003984,79.40139442231076,106.28777777777778,131.71181818181816,159.85424603174602,149.48083665338646,155.373
AMP,Ameriprise Financial,18,Financials,,,,,,26.8256,32.678446215139445,42.72749003984064,29.201581027667984,20.533492063492062,33.83063492063492,40.555238095238096,42.63,67.76440476190477,96.15039682539683,101.62003968253968,83.27630952380953,121.34892430278884,129.0001593625498,130.77936507936508,145.08624505928853,249.9413888888889,281.2449003984064,329.714
ABC,AmerisourceBergen,22,Health Care,5.782063492063492,10.922217741935484,13.104404761904762,11.410595238095237,10.872896825396825,13.255476190476191,17.242828685258964,19.16434262948207,15.761383399209487,16.20968253968254,24.902460317460317,32.26424603174603,32.82836,48.88587301587302,65.10277777777779,91.86134920634922,74.45964285714287,78.39900398406375,82.53378486055777,78.17222222222223,91.35110671936759,114.85623015873016,147.68617529880478,163.74349999999998
AME,Ametek,10,Industrials,2.6028571428571428,3.651975806451613,4.470952380952381,5.20781746031746,7.574126984126984,10.588968253968254,11.936334661354582,15.736533864541832,17.17814229249012,13.548650793650795,18.459603174603174,25.30095238095238,31.343,41.32654761904762,48.744007936507934,50.66087301587302,45.540595238095236,58.833944223107565,72.1493625498008,84.10539682539682,94.18754940711463,130.01353174603176,126.33860557768925,142.6385
AMGN,Amgen,31,Health Care,48.646904761904764,46.30278225806452,36.70059523809523,45.65702380952381,43.765952380952385,51.97551587301587,52.491394422310755,43.04051792828685,38.00055335968379,40.80452380952381,41.42623015873016,41.754087301587305,57.95644,80.35777777777778,103.26873015873016,126.94186507936507,128.1756746031746,144.1003984063745,163.34513944223107,175.11944444444444,212.80671936758893,218.80019841269842,240.7688844621514,261.5165
APH,Amphenol,15,Information Technology,2.92031746031746,2.3441129032258066,2.2874206349206347,2.7717857142857145,3.5907936507936506,4.534325396825397,6.3662151394422315,8.254701195219123,8.746798418972332,7.620039682539683,10.167857142857143,11.234880952380953,13.033280000000001,17.513214285714284,22.232539682539684,25.533809523809527,27.728531746031745,36.45326693227092,42.36601593625498,45.719682539682545,50.24501976284585,70.4634126984127,73.13354581673308,78.65549999999999
ADI,Analog Devices,24,Information Technology,45.7220634920635,28.427298387096776,20.918055555555558,23.26952380952381,27.682539682539684,23.795119047619046,22.37569721115538,23.87948207171315,18.903557312252964,17.54702380952381,22.612976190476193,27.771309523809524,30.27224,37.359047619047615,42.419920634920636,50.60071428571428,52.60511904761905,73.13745019920319,83.94824701195219,101.31753968253969,111.59426877470355,159.73436507936506,156.12422310756972,166.599
ANSS,Ansys,6,Information Technology,2.76234126984127,4.155564516129032,5.529801587301587,7.758531746031746,11.703373015873016,18.123492063492062,23.629282868525895,30.2396812749004,37.783596837944664,32.190555555555555,44.40384920634921,53.846468253968254,65.09136,80.1863888888889,78.37833333333333,89.44694444444445,90.02349206349206,121.36486055776894,165.21808764940238,202.13789682539684,293.38343873517783,361.7831746031746,269.6693625498008,252.8005
AON,Aon,27,Financials,22.575793650793653,25.854072580645163,20.183928571428574,16.8856746031746,20.073650793650796,22.319682539682542,29.74836653386454,35.0807171314741,37.314940711462455,33.761587301587305,34.92507936507937,42.62706349206349,45.01636,61.11813492063492,79.20531746031746,89.3684126984127,98.71218253968254,124.11972111553784,139.62406374501992,178.3549603174603,194.53071146245057,255.59103174603175,286.7769721115538,314.3595
